postcode,roofs,green_area,total_affordable_units,extremely_lowincome_units,very_lowincome_units,lowincome_units,units_mutated
11201,24,1895.1294441666666,1629,314,18,370,16.29
11205,5,1492.75898,840,186,51,395,8.4
11206,3,3033.7427,4878,477,1371,2685,48.78
11208,4,248.21940999999998,4415,645,1018,2593,44.15
11209,1,5037.94446,5,0,0,0,0.05
11211,10,1288.961116,1050,257,179,371,10.5
11212,2,1741.662625,4027,911,553,2459,40.27
11213,5,1221.533302,1062,223,274,318,10.62
11215,14,540.9512492857143,114,3,34,41,1.14
11216,1,573.15394,1544,213,278,725,15.44
11217,9,14931.14535,2202,106,364,1060,22.02
11218,2,317.93377999999996,104,6,22,4,1.04
11220,2,6578.038675,708,585,39,12,7.08
11222,5,2968.788658,1971,133,175,960,19.71
11224,4,1594.7317175,3031,588,209,1992,30.31
11225,3,11086.122466666666,772,86,297,263,7.72
11226,2,1931.1962250000001,1496,68,137,256,14.96
11231,9,9685.923432222222,349,38,53,242,3.49
11232,1,854.15329,119,27,14,65,1.19
11234,2,3227.559785,4,0,0,2,0.04
11235,2,4475.702805,1438,1191,5,2,14.38
11237,1,320.33251,319,98,29,18,3.19
11238,6,3126.39514,2933,136,586,1278,29.33
11249,11,4744.940584545455,650,76,31,458,6.5
