borough,postcode,assets,mean_area
Bronx,10451,3,6762.333333333333
Bronx,10453,2,566.7
Bronx,10454,5,3848.2
Bronx,10455,8,2802.18625
Bronx,10456,1,456
Bronx,10457,3,2142
Bronx,10458,6,2067.8333333333335
Bronx,10459,14,1522.1035714285715
Bronx,10460,7,5223
Bronx,10461,5,3314
Bronx,10462,2,3400.5
Bronx,10465,4,23567.2575
Bronx,10466,76,2193.8552631578946
Bronx,10467,5,15748.439999999999
Bronx,10468,1,1725
Bronx,10472,2,2480
Bronx,10473,10,13051.099999999999
Bronx,10474,1,2692
Brooklyn,11201,7,780.5714285714286
Brooklyn,11203,2,2324.5
Brooklyn,11204,3,1703.2966666666666
Brooklyn,11205,6,5212.116666666667
Brooklyn,11206,7,3509.714285714286
Brooklyn,11207,15,573.992
Brooklyn,11208,19,1360.7747368421053
Brooklyn,11210,1,976
Brooklyn,11211,2,2440
Brooklyn,11212,9,1650.0755555555556
Brooklyn,11213,4,1274.25
Brooklyn,11214,3,708.1666666666666
Brooklyn,11215,2,540
Brooklyn,11217,5,215
Brooklyn,11218,1,834
Brooklyn,11220,2,1187.605
Brooklyn,11221,6,3886.8033333333333
Brooklyn,11224,1,2977
Brooklyn,11228,3,10241.066666666668
Brooklyn,11230,2,443.865
Brooklyn,11231,4,2481.2
Brooklyn,11232,3,23648.333333333332
Brooklyn,11233,6,4466.666666666667
Brooklyn,11234,1,777.2
Brooklyn,11235,3,933.6666666666666
Brooklyn,11236,2,3505
Brooklyn,11237,10,2567
Brooklyn,11238,11,1719.4636363636364
Brooklyn,11239,1,7839
Brooklyn,11249,1,300
Brooklyn,11251,2,27067.5
Manhattan,10001,5,341.2
Manhattan,10002,8,2089.5
Manhattan,10003,11,2778.2727272727275
Manhattan,10004,1,1785
Manhattan,10009,3,1582.3333333333333
Manhattan,10011,6,1702.6816666666666
Manhattan,10016,5,2439.6
Manhattan,10017,5,843.8
Manhattan,10019,4,1791.75
Manhattan,10021,2,1193.45
Manhattan,10022,1,5985
Manhattan,10023,1,1466
Manhattan,10024,2,807.5
Manhattan,10026,1,8558
Manhattan,10027,8,1699.25
Manhattan,10029,4,3722.25
Manhattan,10031,1,2215
Manhattan,10033,1,1102
Manhattan,10035,6,4254.283333333333
Manhattan,10036,1,1169
Manhattan,10037,1,864
Manhattan,10039,2,1170
Queens,10009,1,80
Queens,10029,1,584
Queens,11102,3,31167.266666666666
Queens,11103,1,5702
Queens,11105,1,2580.5
Queens,11354,5,1549.56
Queens,11355,7,20205.285714285714
Queens,11356,2,930.5
Queens,11358,1,823
Queens,11360,1,51565
Queens,11362,5,425
Queens,11364,1,3960
Queens,11366,1,984
Queens,11367,10,1615.7
Queens,11373,1,902
Queens,11374,6,498.75
Queens,11375,9,2290
Queens,11377,3,22746.333333333332
Queens,11379,1,390
Queens,11385,2,543
Queens,11411,1,154
Queens,11412,2,3200
Queens,11414,2,775
Queens,11415,1,226.3
Queens,11417,2,4160.5
Queens,11418,3,2444.746666666667
Queens,11420,1,1048
Queens,11422,1,2124
Queens,11432,2,45097
Queens,11433,1,5260.2
Queens,11434,7,1812.7142857142858
Queens,11691,4,1634.75
Queens,11693,2,736
Queens,11694,4,3002.25
Staten Island,10301,1,864
Staten Island,10302,3,1953.6666666666667
Staten Island,10303,1,7292
Staten Island,10305,8,20385.125
Staten Island,10306,1,1049.6
Staten Island,10307,1,3401
Staten Island,10308,5,808
Staten Island,10309,1,44429
Staten Island,10310,1,5237
Staten Island,10312,2,2837.5
Staten Island,10314,3,11804
