postcode,assets,total_affordable_units,extremely_lowincome_units,very_lowincome_units,lowincome_units,units_mutated
10001,5,2462,429,399,905,24.62
10002,8,5647,452,2442,1957,56.47
10003,11,588,363,121,91,5.88
10009,3,5663,301,177,1043,56.63
10011,6,951,131,178,217,9.51
10016,5,636,8,12,608,6.36
10017,5,125,0,43,44,1.25
10019,4,1946,436,710,430,19.46
10021,2,10,0,0,10,0.1
10022,1,83,0,0,33,0.83
10023,1,434,0,0,384,4.34
10024,2,504,258,210,32,5.04
10026,1,1827,728,276,664,18.27
10027,8,1884,352,363,755,18.84
10029,4,7420,1148,4029,873,74.2
10031,1,1171,142,308,505,11.71
10033,1,306,47,66,121,3.06
10035,6,2890,974,486,867,28.9
10036,1,845,44,315,351,8.45
10037,1,2244,210,110,858,22.44
10039,2,2837,189,2015,370,28.37
