postcode,roofs,green_area,total_affordable_units,extremely_lowincome_units,very_lowincome_units,lowincome_units,units_mutated
10001,14,5911.0449071428575,2462,429,399,905,24.62
10002,10,1165.045277,5647,452,2442,1957,56.47
10003,18,3028.8283516666665,588,363,121,91,5.88
10007,11,4391.960368181818,63,0,0,21,0.63
10009,12,2823.4544658333334,5663,301,177,1043,56.63
10010,13,2786.840190769231,1936,88,11,491,19.36
10011,42,1311.3312009523809,951,131,178,217,9.51
10012,20,1488.580341,327,128,186,8,3.27
10013,38,2293.9886963157896,181,86,1,88,1.81
10014,32,1179.8150790625,53,0,7,38,0.53
10016,14,2138.9340685714287,636,8,12,608,6.36
10017,7,3586.932225714286,125,0,43,44,1.25
10018,9,32610.257986666667,530,0,25,297,5.3
10019,19,5373.871366842105,1946,436,710,430,19.46
10021,21,687.9979642857143,10,0,0,10,0.1
10022,9,2092.951647777778,83,0,0,33,0.83
10023,16,5142.6234625,434,0,0,384,4.34
10024,8,1915.47759625,504,258,210,32,5.04
10025,15,5513.981681333334,1795,617,548,421,17.95
10026,2,2311.01768,1827,728,276,664,18.27
10027,7,1667.1544442857144,1884,352,363,755,18.84
10028,6,2993.6416433333334,35,0,14,17,0.35
10029,12,2539.9423075,7420,1148,4029,873,74.2
10031,3,9582.638133333334,1171,142,308,505,11.71
10032,1,2189.20146,1238,310,456,311,12.38
10035,12,3582.2854933333333,2890,974,486,867,28.9
10036,16,1831.443349375,845,44,315,351,8.45
10037,1,909.16056,2244,210,110,858,22.44
10038,5,1247.145286,127,0,12,109,1.27
10039,4,14768.037264999999,2837,189,2015,370,28.37
10044,3,1920.9776866666668,341,0,69,33,3.41
10069,2,3087.26127,55,0,0,55,0.55
10128,7,475.1063828571428,821,487,163,137,8.21
