postcode,buildings,estimated_solar_capacity,mean_estimated_solar,mean_roof_space,total_affordable_units,extremely_lowincome_units,very_lowincome_units,lowincome_units
10001,6,275.97,45.995000000000005,10418.826666666666,2462,429,399,905
10002,30,1201.71,40.057,7681.777333333333,5647,452,2442,1957
10009,2,160.07,80.035,12530.240000000002,5663,301,177,1043
10016,2,58.14,29.07,6046.8099999999995,636,8,12,608
10021,1,29.32,29.32,8774.21,10,0,0,10
10024,1,14.6,14.6,5307.9,504,258,210,32
10025,3,102.81,34.269999999999996,9020.573333333334,1795,617,548,421
10026,2,38.93,19.465,4808.014999999999,1827,728,276,664
10029,34,1665.01,48.970882352941175,8312.765588235294,7420,1148,4029,873
10032,3,227.04000000000002,75.68,19565.056666666667,1238,310,456,311
10035,28,1135.87,40.566785714285714,7048.8492857142855,2890,974,486,867
10039,8,464.5,58.0625,14008.88875,2837,189,2015,370
10128,4,115.78,28.945,8731.6875,821,487,163,137
