postcode,buildings,estimated_solar_capacity,mean_estimated_solar,mean_roof_space
10001,6,275.97,45.995000000000005,10418.826666666666
10002,30,1201.71,40.057,7681.777333333333
10009,2,160.07,80.035,12530.240000000002
10016,2,58.14,29.07,6046.8099999999995
10021,1,29.32,29.32,8774.21
10024,1,14.6,14.6,5307.9
10025,3,102.81,34.269999999999996,9020.573333333334
10026,2,38.93,19.465,4808.014999999999
10029,34,1665.01,48.970882352941175,8312.765588235294
10032,3,227.04000000000002,75.68,19565.056666666667
10035,28,1135.87,40.566785714285714,7048.8492857142855
10039,8,464.5,58.0625,14008.88875
10128,4,115.78,28.945,8731.6875
