longitude,latitude,asset_id,project_na,asset_type,status,asset_x_co,asset_y_co,borough,outfall,waterbody,street_add,city_counc,bbl,asset_area,status_gro,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
-73.98997803,40.68481434,106046,"Boerum Park","Rain Garden","100% Design Accepted",987029.5338,188772.9153,Brooklyn,RH-034,"Gowanus Canal","382 Warren St",33,3003970018,132,"Final Design",40.684713,-73.989832,1,rooftop,382,"Warren St",,,Brooklyn,NY,"Kings County",11201,US,"City of New York"
-73.99546367,40.68130595,106051,"Carroll Park","Rain Garden","100% Design Accepted",985508.1903,187494.581,Brooklyn,RH-034,"Gowanus Canal","President St",39,3004420001,388,"Final Design",40.681506,-73.995326,1,rooftop,282,"President St",,,Brooklyn,NY,"Kings County",11231,US,"City of New York"
-73.87357777,40.71007201,106087,"Middle Village Playground","Permeable Pavers","100% Design Accepted",1019299.152,198000.1672,Queens,NCB-083,"Newtown Creek","78-38 68th Rd",30,4037960025,390,"Final Design",40.710064,-73.87324,1,rooftop,68-37,"79th St",,,"Middle Village",NY,"Queens County",11379,US,"City of New York"
-73.92377827,40.70421298,118814,"Maria Hernandez Park","Rain Garden","100% Design Accepted",1005383.485,195849.448,Brooklyn,NCB-015,"Newtown Creek",NA,34,3032030001,726,"Final Design",40.704411,-73.923632,1,rooftop,69,"Irving Ave",,,Brooklyn,NY,"Kings County",11237,US,"City of New York"
-73.92404668,40.70220581,118817,"Maria Hernandez Park","Rain Garden","100% Design Accepted",1005309.701,195118.112,Brooklyn,NCB-015,"Newtown Creek",NA,34,3032030001,346,"Final Design",40.70203,-73.924232,1,rooftop,278,"Knickerbocker Ave",,,Brooklyn,NY,"Kings County",11237,US,"City of New York"
-73.9238236,40.70221758,118818,"Maria Hernandez Park","Rain Garden","100% Design Accepted",1005371.55,195122.452,Brooklyn,NCB-015,"Newtown Creek",NA,34,3032030001,320,"Final Design",40.70206,-73.923635,1,rooftop,264,"Suydam St",,,Brooklyn,NY,"Kings County",11237,US,"City of New York"
-73.9527488,40.70444006,142259,"P.S. 71 K","Permeable Pavers","100% Design Accepted",997350.98,195926.52,Brooklyn,NCB-014,"East River / Open Waters","68 Harrison Ave",33,3022270001,3789,"Final Design",40.704634,-73.95232,0.99,rooftop,62,"Harrison Ave",,,Brooklyn,NY,"Kings County",11211,US,"City of New York"
-73.95293079,40.70444406,142260,"P.S. 71 K","Permeable Pavers","100% Design Accepted",997300.52,195927.95,Brooklyn,NCB-014,"East River / Open Waters","68 Harrison Ave",33,3022270001,1091,"Final Design",40.704703,-73.953194,0.99,rooftop,281,"Rutledge St",,,Brooklyn,NY,"Kings County",11211,US,"City of New York"
-73.96128472,40.68760816,149604,"Bedford Stuyvesant Restoration","Rain Garden","100% Design Accepted",994987,189793,Brooklyn,RH-005,"East River / Open Waters",NA,35,3019520016,100,"Final Design",40.687336,-73.961498,0.99,rooftop,257,"Greene Ave",,,Brooklyn,NY,"Kings County",11238,US,"City of New York"
-73.9449047,40.81289098,149633,"Aurum Condominum","Green Roof","100% Design Accepted",999501,235440,Manhattan,WIM-045,"East River / Open Waters","2225 7th Ave",9,1019160061,4580,"Final Design",40.812961,-73.945081,1,rooftop,2235,"Adam Clayton Powell Jr Blvd",,,"New York",NY,"New York County",10027,US,"City of New York"
-73.817955,40.737135,149644,"Queens College Dining Hall","Permeable Pavers","100% Design Accepted",1034699.435,207887.179,Queens,TI-022,"Flushing Creek",NA,24,4065170001,1247,"Final Design",40.737009,-73.817842,1,rooftop,64-50,"Kissena Blvd",,,Flushing,NY,"Queens County",11367,US,"City of New York"
