postcode,assets,total_affordable_units,extremely_lowincome_units,very_lowincome_units,lowincome_units,units_mutated
11102,3,188,0,0,103,1.88
11103,1,46,0,0,0,0.46
11105,1,543,348,58,49,5.43
11354,5,31,0,0,0,0.31
11355,7,286,0,66,107,2.86
11358,1,9,0,0,0,0.09
11373,1,6,0,0,0,0.06
11374,6,56,0,1,29,0.56
11375,9,689,312,174,72,6.89
11377,3,1255,0,393,815,12.55
11385,2,206,40,14,41,2.06
11411,1,8,0,0,4,0.08
11412,2,140,61,20,51,1.4
11417,2,2,0,1,1,0.02
11418,3,40,0,0,25,0.4
11420,1,11,0,1,8,0.11
11422,1,1,0,0,1,0.01
11432,2,991,203,37,627,9.91
11433,1,758,123,61,341,7.58
11434,7,6390,253,5393,737,63.9
11691,4,3086,817,556,1627,30.86
11693,2,1213,0,1042,120,12.13
11694,4,18,0,0,0,0.18
