postcode,roofs,green_area,total_affordable_units,extremely_lowincome_units,very_lowincome_units,lowincome_units,units_mutated
11101,17,6055.714752941176,2322,66,284,324,23.22
11102,1,1339.52518,188,0,0,103,1.88
11104,1,79.20706,12,0,0,9,0.12
11106,2,1092.196995,222,102,0,23,2.22
11354,3,15081.23322,31,0,0,0,0.31
11355,1,8324.8772,286,0,66,107,2.86
11368,1,9075.77916,470,96,303,0,4.7
11374,2,1598.41867,56,0,1,29,0.56
11375,3,9096.05768,689,312,174,72,6.89
11412,1,2787.41923,140,61,20,51,1.4
11432,1,888.01906,991,203,37,627,9.91
11435,1,2155.77295,1540,53,204,291,15.4
11691,5,2092.1952420000002,3086,817,556,1627,30.86
11694,1,13282.52131,18,0,0,0,0.18
